Ciclo_EstacionArribo,Viaje_atipico,dia_semana,hora_inicio,is_Entre Semana
62.0,0,2,18,True
43.0,0,6,15,False
481.0,0,5,17,False
78.0,0,2,17,True
555.0,0,4,13,True
447.0,1,2,18,True
641.0,0,1,12,True
562.0,0,1,11,True
4.0,1,2,13,True
41.0,0,6,11,False
181.0,1,5,8,False
195.0,1,0,16,True
562.0,1,1,21,True
580.0,0,2,16,True
155.0,0,6,12,False
80.0,0,4,15,True
522.0,0,5,22,False
61.0,0,4,8,True
594.0,0,3,14,True
17.0,1,4,18,True
206.0,0,2,10,True
484.0,0,4,8,True
23.0,0,2,14,True
683.0,0,2,12,True
150.0,0,4,16,True
252.0,0,6,16,False
661.0,0,4,21,True
396.0,1,5,14,False
494.0,0,1,20,True
424.0,1,5,9,False
154.0,0,4,16,True
475.0,0,6,22,False
597.0,0,1,6,True
529.0,0,1,8,True
121.0,0,5,13,False
455.0,0,3,8,True
214.0,0,5,12,False
99.0,0,6,8,False
217.0,1,6,15,False
620.0,0,2,10,True
225.0,1,4,21,True
98.0,0,2,13,True
154.0,0,1,12,True
133.0,0,3,16,True
595.0,0,6,14,False
169.0,0,2,13,True
166.0,0,3,14,True
603.0,0,2,18,True
573.0,0,6,15,False
467.0,0,5,14,False
262.0,1,5,11,False
74.0,1,1,17,True
83.0,0,3,20,True
25.0,0,1,12,True
60.0,0,3,17,True
86.0,0,2,18,True
303.0,1,3,19,True
225.0,0,1,15,True
326.0,1,1,10,True
395.0,0,1,14,True
710.0,1,5,9,False
326.0,0,2,11,True
27.0,1,6,8,False
481.0,0,2,11,True
312.0,1,0,15,True
544.0,1,0,16,True
644.0,0,3,18,True
211.0,0,0,8,True
128.0,0,6,15,False
79.0,1,1,9,True
427.0,0,1,7,True
389.0,0,3,18,True
495.0,0,2,7,True
260.0,1,4,15,True
710.0,1,6,12,False
19.0,0,1,18,True
96.0,1,2,14,True
30.0,0,1,19,True
552.0,1,6,15,False
71.0,0,0,11,True
141.0,0,0,13,True
247.0,0,3,8,True
685.0,0,3,18,True
579.0,0,0,8,True
697.0,0,4,10,True
121.0,0,3,20,True
33.0,0,1,13,True
347.0,1,3,11,True
25.0,0,6,10,False
591.0,0,2,11,True
173.0,0,0,15,True
560.0,0,1,17,True
1.0,1,3,7,True
293.0,1,1,16,True
175.0,0,2,18,True
202.0,0,0,17,True
605.0,1,5,11,False
629.0,0,3,20,True
34.0,0,6,9,False
531.0,0,0,14,True
195.0,1,6,23,False
219.0,0,2,11,True
38.0,0,6,17,False
659.0,0,3,20,True
370.0,0,1,13,True
112.0,0,3,10,True
38.0,1,3,17,True
76.0,0,0,15,True
115.0,0,3,14,True
283.0,0,5,16,False
356.0,1,2,14,True
256.0,0,6,11,False
419.0,0,2,9,True
77.0,0,1,22,True
449.0,1,2,19,True
660.0,0,5,13,False
555.0,0,2,14,True
358.0,1,6,15,False
554.0,0,6,9,False
683.0,0,6,20,False
339.0,1,2,22,True
144.0,0,0,7,True
34.0,0,6,15,False
231.0,0,3,13,True
658.0,1,3,19,True
219.0,0,2,11,True
242.0,0,0,10,True
225.0,0,1,11,True
291.0,1,2,9,True
398.0,0,4,8,True
223.0,0,1,10,True
121.0,0,3,13,True
517.0,0,3,13,True
477.0,0,0,8,True
20.0,0,3,11,True
144.0,0,5,8,False
8.0,0,1,20,True
618.0,0,4,5,True
197.0,0,2,15,True
69.0,0,0,15,True
38.0,1,1,20,True
217.0,0,3,16,True
596.0,0,1,22,True
393.0,0,4,15,True
485.0,0,0,9,True
436.0,0,2,18,True
257.0,0,4,12,True
135.0,1,0,12,True
570.0,1,2,10,True
99.0,0,1,16,True
517.0,1,6,22,False
28.0,1,6,19,False
72.0,1,3,18,True
52.0,0,2,17,True
564.0,0,2,20,True
118.0,1,4,22,True
543.0,0,1,17,True
323.0,0,6,11,False
373.0,0,0,16,True
27.0,1,2,16,True
99.0,0,6,9,False
117.0,0,5,8,False
425.0,1,3,14,True
392.0,0,2,17,True
124.0,0,4,23,True
543.0,0,4,7,True
641.0,0,3,9,True
652.0,0,2,12,True
263.0,0,3,16,True
78.0,0,4,17,True
373.0,0,2,19,True
279.0,0,4,9,True
66.0,1,5,14,False
194.0,1,1,12,True
276.0,1,3,9,True
594.0,0,3,14,True
634.0,0,3,13,True
163.0,0,3,11,True
131.0,0,0,18,True
263.0,0,2,19,True
194.0,0,4,9,True
166.0,0,5,14,False
19.0,1,2,15,True
171.0,0,2,13,True
68.0,1,2,11,True
123.0,0,6,21,False
553.0,0,4,22,True
442.0,1,6,19,False
670.0,0,0,18,True
145.0,0,3,17,True
280.0,0,5,20,False
305.0,0,0,7,True
10.0,0,0,8,True
75.0,1,2,8,True
286.0,1,6,20,False
707.0,1,5,13,False
461.0,1,1,10,True
447.0,0,4,12,True
48.0,1,3,19,True
154.0,1,2,17,True
352.0,1,3,14,True
136.0,0,2,19,True
394.0,0,2,8,True
243.0,1,1,18,True
270.0,0,3,11,True
110.0,0,4,15,True
208.0,1,5,14,False
652.0,0,0,7,True
144.0,1,1,13,True
18.0,0,0,17,True
43.0,0,2,13,True
354.0,0,0,17,True
456.0,0,3,21,True
187.0,0,5,20,False
490.0,0,5,7,False
359.0,0,1,8,True
16.0,1,6,11,False
565.0,0,3,13,True
253.0,0,0,20,True
43.0,1,5,11,False
291.0,1,0,23,True
638.0,0,4,13,True
231.0,0,1,12,True
623.0,0,5,20,False
576.0,0,5,11,False
404.0,0,1,17,True
302.0,1,4,15,True
482.0,0,6,9,False
369.0,0,2,19,True
155.0,0,3,17,True
463.0,1,1,14,True
115.0,0,4,16,True
18.0,1,0,13,True
563.0,0,2,15,True
301.0,0,1,19,True
38.0,0,0,12,True
473.0,1,4,18,True
395.0,0,3,18,True
117.0,1,6,10,False
595.0,0,3,9,True
49.0,0,3,7,True
357.0,1,1,18,True
232.0,0,2,19,True
313.0,0,3,18,True
648.0,0,1,12,True
244.0,0,1,17,True
186.0,0,6,13,False
560.0,0,1,17,True
152.0,0,5,12,False
330.0,0,1,8,True
320.0,0,1,19,True
690.0,0,2,18,True
573.0,0,3,18,True
534.0,0,0,6,True
38.0,1,0,12,True
87.0,0,2,16,True
182.0,0,5,19,False
465.0,1,4,22,True
19.0,0,1,16,True
512.0,1,5,16,False
14.0,0,0,16,True
685.0,1,6,15,False
190.0,1,4,9,True
151.0,0,5,10,False
444.0,1,2,9,True
260.0,0,3,10,True
402.0,0,1,19,True
626.0,0,4,13,True
484.0,1,1,15,True
287.0,0,1,7,True
49.0,1,6,9,False
18.0,0,5,14,False
62.0,1,4,8,True
549.0,0,4,12,True
10.0,1,6,9,False
224.0,1,4,20,True
303.0,0,3,8,True
439.0,1,6,10,False
603.0,0,2,15,True
327.0,0,1,17,True
79.0,1,6,12,False
571.0,0,2,11,True
30.0,0,3,11,True
427.0,1,1,19,True
518.0,0,4,9,True
286.0,0,2,10,True
128.0,0,1,20,True
173.0,0,1,6,True
250.0,0,3,10,True
447.0,0,1,7,True
316.0,0,0,13,True
84.0,0,1,14,True
26.0,1,6,10,False
711.0,1,3,6,True
195.0,1,5,15,False
133.0,0,3,20,True
405.0,1,6,10,False
499.0,0,4,8,True
176.0,0,3,9,True
260.0,0,3,8,True
14.0,0,4,8,True
164.0,0,6,21,False
310.0,0,1,0,True
260.0,1,6,10,False
7.0,0,1,18,True
7.0,0,1,12,True
197.0,1,5,9,False
310.0,0,0,10,True
111.0,0,3,9,True
169.0,0,4,10,True
434.0,1,6,9,False
179.0,0,3,11,True
194.0,0,2,17,True
349.0,1,5,7,False
287.0,0,4,17,True
31.0,0,1,15,True
583.0,0,1,19,True
692.0,0,2,19,True
524.0,1,5,15,False
402.0,1,2,7,True
463.0,1,3,18,True
96.0,0,5,11,False
710.0,1,3,9,True
95.0,1,6,13,False
306.0,1,2,15,True
144.0,0,0,19,True
154.0,0,1,7,True
259.0,0,4,10,True
36.0,0,2,19,True
172.0,0,5,16,False
412.0,0,5,19,False
74.0,1,3,13,True
102.0,0,2,19,True
70.0,1,0,18,True
49.0,1,0,18,True
96.0,0,5,13,False
47.0,0,4,15,True
483.0,1,4,13,True
633.0,0,5,16,False
563.0,0,6,11,False
224.0,0,1,7,True
26.0,1,3,15,True
201.0,0,2,9,True
40.0,0,6,14,False
147.0,0,2,11,True
247.0,0,1,22,True
72.0,0,4,21,True
55.0,1,5,14,False
144.0,0,0,17,True
394.0,0,4,15,True
425.0,0,5,13,False
279.0,1,4,12,True
495.0,1,6,11,False
513.0,0,1,17,True
128.0,0,4,14,True
120.0,1,2,17,True
102.0,0,3,14,True
41.0,1,6,9,False
61.0,1,1,15,True
217.0,1,1,9,True
197.0,1,6,12,False
214.0,1,5,16,False
505.0,1,1,18,True
421.0,1,3,14,True
80.0,0,1,19,True
13.0,0,2,17,True
633.0,0,2,14,True
614.0,1,6,7,False
232.0,1,1,13,True
506.0,1,2,11,True
163.0,0,0,17,True
67.0,0,2,18,True
120.0,1,1,15,True
197.0,0,2,12,True
533.0,0,6,9,False
117.0,0,2,14,True
30.0,1,6,11,False
613.0,0,3,17,True
137.0,0,5,11,False
138.0,0,6,15,False
358.0,1,6,11,False
134.0,1,5,9,False
242.0,0,4,9,True
134.0,0,5,13,False
41.0,1,6,9,False
300.0,0,3,12,True
337.0,0,1,9,True
594.0,1,5,18,False
323.0,0,4,9,True
34.0,0,1,8,True
195.0,1,6,8,False
32.0,1,0,15,True
98.0,0,0,19,True
14.0,1,6,8,False
707.0,0,2,15,True
85.0,0,4,17,True
538.0,0,1,17,True
578.0,0,6,14,False
195.0,1,6,13,False
163.0,1,3,15,True
451.0,0,3,21,True
402.0,0,1,22,True
467.0,0,1,10,True
257.0,0,5,11,False
543.0,0,4,15,True
380.0,0,2,18,True
33.0,1,0,20,True
248.0,0,0,17,True
405.0,1,6,10,False
412.0,1,6,11,False
29.0,0,2,10,True
425.0,0,6,17,False
478.0,1,2,8,True
141.0,0,4,14,True
19.0,0,3,6,True
560.0,0,1,7,True
52.0,1,2,21,True
191.0,0,1,9,True
28.0,1,6,15,False
195.0,0,3,17,True
206.0,0,2,16,True
120.0,1,2,9,True
197.0,0,0,22,True
188.0,1,2,20,True
37.0,0,2,8,True
600.0,0,1,12,True
327.0,1,6,11,False
40.0,0,6,18,False
593.0,0,5,19,False
126.0,0,2,14,True
163.0,1,6,8,False
412.0,0,2,17,True
498.0,0,3,10,True
285.0,0,4,10,True
18.0,0,3,16,True
594.0,0,2,10,True
548.0,1,5,19,False
173.0,0,1,16,True
631.0,0,3,16,True
502.0,0,0,7,True
84.0,0,1,9,True
254.0,0,0,13,True
525.0,1,5,6,False
41.0,0,4,14,True
496.0,0,1,16,True
490.0,0,2,13,True
316.0,0,3,16,True
575.0,0,1,16,True
553.0,0,1,19,True
63.0,0,1,22,True
710.0,0,2,11,True
183.0,0,2,16,True
476.0,0,1,22,True
628.0,1,6,11,False
286.0,1,6,8,False
341.0,1,6,8,False
496.0,0,2,15,True
429.0,0,6,16,False
69.0,0,3,23,True
4.0,0,1,15,True
203.0,0,1,18,True
301.0,0,1,8,True
66.0,0,6,11,False
281.0,0,3,7,True
69.0,0,2,8,True
7.0,0,4,18,True
331.0,0,2,12,True
562.0,1,6,0,False
667.0,0,1,15,True
149.0,0,0,19,True
135.0,1,0,12,True
669.0,1,5,18,False
432.0,0,0,8,True
348.0,0,1,17,True
481.0,0,0,17,True
451.0,0,1,16,True
449.0,0,2,7,True
10.0,1,6,9,False
156.0,0,4,15,True
162.0,0,2,18,True
356.0,1,6,10,False
24.0,1,6,8,False
301.0,0,2,8,True
41.0,1,2,14,True
276.0,0,6,19,False
160.0,0,3,17,True
46.0,1,6,9,False
8.0,0,4,7,True
61.0,0,4,7,True
659.0,0,6,7,False
50.0,1,4,15,True
210.0,0,1,8,True
182.0,0,3,8,True
372.0,0,0,21,True
21.0,0,4,15,True
474.0,0,6,17,False
39.0,1,3,13,True
61.0,0,4,16,True
111.0,0,1,19,True
27.0,1,0,21,True
395.0,0,4,10,True
341.0,1,0,14,True
548.0,0,1,6,True
208.0,0,2,7,True
152.0,0,2,9,True
398.0,0,4,13,True
32.0,0,4,19,True
449.0,1,1,13,True
565.0,1,4,23,True
86.0,0,4,5,True
225.0,1,4,23,True
571.0,0,4,8,True
377.0,1,4,7,True
165.0,0,3,17,True
575.0,0,3,22,True
227.0,0,4,14,True
31.0,0,2,9,True
85.0,0,5,16,False
354.0,1,0,10,True
69.0,1,4,15,True
27.0,0,1,11,True
295.0,0,1,13,True
475.0,0,1,20,True
202.0,1,6,9,False
288.0,1,3,18,True
292.0,0,4,23,True
534.0,0,1,8,True
131.0,0,4,8,True
17.0,0,0,14,True
680.0,0,2,17,True
175.0,0,1,15,True
41.0,0,5,11,False
217.0,0,2,7,True
72.0,0,4,12,True
495.0,1,4,22,True
262.0,1,3,17,True
242.0,1,6,14,False
53.0,0,0,14,True
562.0,0,2,9,True
95.0,0,4,10,True
29.0,0,4,6,True
141.0,1,5,12,False
19.0,0,1,21,True
118.0,0,6,15,False
339.0,1,2,10,True
234.0,0,1,8,True
574.0,1,5,11,False
417.0,0,6,10,False
641.0,0,0,21,True
467.0,0,1,12,True
3.0,0,3,19,True
68.0,0,6,15,False
496.0,1,3,19,True
3.0,1,6,18,False
711.0,0,1,7,True
217.0,1,2,18,True
123.0,1,0,21,True
115.0,0,4,10,True
116.0,0,3,18,True
706.0,0,3,7,True
18.0,1,6,9,False
83.0,0,0,13,True
596.0,0,3,20,True
427.0,1,6,13,False
581.0,1,0,19,True
86.0,0,6,7,False
165.0,0,1,5,True
75.0,1,6,13,False
475.0,0,2,12,True
568.0,1,4,13,True
137.0,0,6,17,False
208.0,0,4,7,True
473.0,1,2,19,True
194.0,0,4,14,True
59.0,1,0,15,True
227.0,0,2,16,True
520.0,0,0,15,True
66.0,1,2,16,True
27.0,1,6,8,False
291.0,0,1,7,True
228.0,0,2,8,True
94.0,1,4,16,True
300.0,0,3,8,True
49.0,0,6,10,False
684.0,0,1,20,True
684.0,0,3,8,True
206.0,1,2,10,True
72.0,0,3,8,True
326.0,0,3,17,True
389.0,0,3,8,True
14.0,1,5,15,False
450.0,0,3,20,True
595.0,0,2,14,True
208.0,0,3,18,True
179.0,0,1,14,True
544.0,1,6,16,False
190.0,1,2,15,True
175.0,0,0,11,True
11.0,0,1,12,True
84.0,1,4,13,True
506.0,0,3,8,True
632.0,0,2,9,True
490.0,0,5,6,False
97.0,1,2,11,True
520.0,0,0,11,True
198.0,1,3,17,True
72.0,1,3,18,True
404.0,1,1,15,True
27.0,0,4,17,True
80.0,1,6,9,False
584.0,1,3,21,True
328.0,0,0,15,True
35.0,0,2,12,True
145.0,1,1,22,True
631.0,1,0,5,True
329.0,0,6,13,False
342.0,0,2,19,True
545.0,0,0,16,True
359.0,1,4,18,True
54.0,1,6,10,False
18.0,1,4,18,True
23.0,1,6,10,False
232.0,0,2,19,True
123.0,1,0,23,True
68.0,1,2,15,True
252.0,1,6,13,False
29.0,1,6,11,False
127.0,0,4,9,True
43.0,1,6,10,False
510.0,0,4,7,True
35.0,0,2,17,True
516.0,0,4,15,True
247.0,0,3,16,True
568.0,1,1,9,True
19.0,1,2,13,True
190.0,0,0,20,True
600.0,0,4,17,True
500.0,1,0,19,True
636.0,1,4,9,True
60.0,0,1,6,True
568.0,0,5,20,False
174.0,0,1,15,True
262.0,0,4,8,True
460.0,1,5,18,False
84.0,0,6,14,False
597.0,0,5,9,False
250.0,0,0,14,True
661.0,0,4,8,True
74.0,1,3,13,True
630.0,1,4,21,True
59.0,0,0,12,True
469.0,0,1,17,True
45.0,1,6,10,False
564.0,0,0,15,True
96.0,1,6,10,False
586.0,0,2,12,True
200.0,1,2,10,True
82.0,0,1,19,True
195.0,0,3,8,True
647.0,0,1,9,True
363.0,0,1,14,True
559.0,0,2,13,True
359.0,0,3,10,True
53.0,0,5,11,False
669.0,0,4,10,True
73.0,1,1,9,True
375.0,0,3,13,True
144.0,0,1,12,True
53.0,0,3,8,True
141.0,1,6,20,False
257.0,1,6,9,False
594.0,0,2,17,True
155.0,1,4,13,True
710.0,1,6,10,False
174.0,0,1,7,True
75.0,1,6,13,False
375.0,0,1,11,True
291.0,0,1,18,True
250.0,0,1,12,True
65.0,0,0,15,True
365.0,0,2,19,True
453.0,1,6,10,False
412.0,0,6,15,False
638.0,1,3,8,True
178.0,0,3,20,True
548.0,0,1,13,True
61.0,1,6,10,False
301.0,0,3,18,True
119.0,1,2,19,True
377.0,1,0,16,True
23.0,0,4,8,True
15.0,0,4,18,True
13.0,1,5,16,False
467.0,0,5,12,False
397.0,0,3,9,True
270.0,0,1,16,True
46.0,1,6,10,False
45.0,0,3,19,True
127.0,1,1,10,True
489.0,0,3,22,True
99.0,0,3,21,True
341.0,1,3,17,True
168.0,0,6,15,False
460.0,1,3,17,True
77.0,0,2,15,True
66.0,0,6,11,False
233.0,0,1,6,True
124.0,1,2,6,True
148.0,0,2,18,True
197.0,1,1,16,True
393.0,0,2,16,True
64.0,0,2,10,True
617.0,0,2,8,True
485.0,1,0,14,True
154.0,0,5,10,False
167.0,0,4,21,True
563.0,0,6,13,False
414.0,0,1,21,True
499.0,1,2,22,True
254.0,0,1,7,True
222.0,1,6,7,False
180.0,1,6,10,False
200.0,0,0,18,True
164.0,0,1,19,True
679.0,0,0,5,True
36.0,0,0,11,True
31.0,0,1,14,True
499.0,0,2,7,True
468.0,0,2,17,True
113.0,0,0,18,True
96.0,0,4,17,True
29.0,1,6,11,False
357.0,0,1,18,True
299.0,0,1,9,True
130.0,0,1,10,True
106.0,0,5,14,False
14.0,0,6,13,False
514.0,1,6,17,False
563.0,0,4,14,True
100.0,0,1,6,True
81.0,0,3,8,True
52.0,0,1,20,True
596.0,0,1,8,True
194.0,0,1,9,True
563.0,0,0,21,True
77.0,0,4,14,True
182.0,0,1,9,True
75.0,1,0,11,True
688.0,0,6,18,False
179.0,1,0,15,True
50.0,0,4,17,True
1.0,1,2,22,True
40.0,0,5,17,False
669.0,0,2,18,True
141.0,0,4,13,True
303.0,0,3,9,True
39.0,0,2,19,True
240.0,0,0,17,True
41.0,1,6,11,False
208.0,0,4,22,True
204.0,1,1,11,True
20.0,0,0,13,True
559.0,0,1,5,True
80.0,1,1,12,True
688.0,0,2,20,True
154.0,0,1,21,True
248.0,0,0,13,True
318.0,1,6,9,False
621.0,0,2,23,True
36.0,0,2,19,True
208.0,0,4,16,True
372.0,0,2,9,True
141.0,1,3,13,True
448.0,0,2,21,True
577.0,1,3,17,True
64.0,1,1,14,True
265.0,0,3,7,True
579.0,1,5,8,False
363.0,0,2,9,True
616.0,0,4,14,True
134.0,0,4,13,True
257.0,0,3,14,True
473.0,0,2,16,True
549.0,0,2,20,True
90.0,1,3,17,True
314.0,0,1,14,True
162.0,1,3,10,True
211.0,1,3,9,True
111.0,0,3,8,True
386.0,0,2,14,True
256.0,0,1,12,True
226.0,0,4,17,True
45.0,1,6,8,False
579.0,0,3,17,True
10.0,0,6,16,False
117.0,0,2,6,True
710.0,1,5,8,False
164.0,0,1,17,True
170.0,1,6,21,False
241.0,1,2,13,True
42.0,0,1,18,True
378.0,0,3,16,True
139.0,0,1,13,True
11.0,1,6,11,False
207.0,0,2,15,True
513.0,0,1,11,True
223.0,0,2,18,True
564.0,0,0,18,True
28.0,0,2,14,True
207.0,1,3,14,True
19.0,1,6,7,False
14.0,1,1,17,True
181.0,0,3,18,True
449.0,0,4,16,True
172.0,0,6,13,False
53.0,0,0,6,True
186.0,1,6,8,False
631.0,0,3,16,True
197.0,1,6,7,False
336.0,0,4,11,True
242.0,0,6,20,False
105.0,0,5,17,False
233.0,1,0,12,True
367.0,0,3,16,True
84.0,0,2,18,True
40.0,1,6,8,False
163.0,0,5,15,False
47.0,1,2,15,True
194.0,1,0,13,True
397.0,0,2,11,True
133.0,0,3,8,True
528.0,0,0,14,True
86.0,0,5,14,False
24.0,0,6,5,False
660.0,0,2,9,True
334.0,0,3,14,True
26.0,0,1,18,True
202.0,1,6,10,False
460.0,1,6,13,False
299.0,0,1,13,True
83.0,0,6,16,False
609.0,0,0,12,True
10.0,1,6,13,False
488.0,0,4,19,True
194.0,1,6,14,False
195.0,1,4,13,True
597.0,0,0,7,True
120.0,1,2,10,True
142.0,1,1,12,True
224.0,1,6,10,False
182.0,0,5,12,False
180.0,1,4,17,True
582.0,0,2,18,True
542.0,0,3,12,True
651.0,0,2,7,True
399.0,0,5,18,False
346.0,0,3,13,True
500.0,0,1,7,True
637.0,0,5,21,False
116.0,0,2,7,True
5.0,1,6,22,False
576.0,1,4,13,True
69.0,0,0,14,True
217.0,1,0,10,True
39.0,0,2,15,True
69.0,0,5,16,False
142.0,0,2,6,True
14.0,0,1,19,True
464.0,0,0,13,True
227.0,1,0,11,True
260.0,0,1,22,True
544.0,0,2,21,True
351.0,0,2,14,True
194.0,0,4,17,True
73.0,0,4,16,True
10.0,0,0,11,True
260.0,0,4,14,True
31.0,0,1,15,True
657.0,1,4,9,True
1.0,0,5,13,False
489.0,0,0,12,True
63.0,0,3,18,True
630.0,0,3,10,True
470.0,0,3,17,True
506.0,1,4,18,True
15.0,1,6,18,False
215.0,0,2,14,True
95.0,1,4,14,True
27.0,1,6,12,False
178.0,1,0,15,True
688.0,0,0,17,True
711.0,1,2,9,True
625.0,1,1,22,True
584.0,1,3,13,True
570.0,0,4,8,True
180.0,0,6,11,False
43.0,1,2,14,True
256.0,0,1,5,True
518.0,1,1,19,True
27.0,0,4,16,True
582.0,1,4,10,True
710.0,1,3,13,True
674.0,1,1,18,True
69.0,0,1,22,True
61.0,0,3,7,True
72.0,0,3,16,True
16.0,0,3,14,True
182.0,0,4,16,True
194.0,0,3,6,True
641.0,0,2,19,True
290.0,0,6,20,False
425.0,1,6,15,False
139.0,0,5,10,False
276.0,1,2,19,True
430.0,1,0,7,True
90.0,0,0,17,True
84.0,1,0,16,True
568.0,1,2,14,True
622.0,0,4,18,True
43.0,0,6,7,False
48.0,0,6,21,False
579.0,0,1,8,True
281.0,1,0,23,True
228.0,0,1,8,True
430.0,0,6,15,False
36.0,1,6,13,False
568.0,0,2,17,True
499.0,1,0,8,True
26.0,1,6,13,False
476.0,0,1,17,True
111.0,0,5,7,False
30.0,1,6,11,False
209.0,0,2,7,True
150.0,1,2,20,True
217.0,1,1,20,True
23.0,0,0,14,True
270.0,0,1,9,True
417.0,0,3,18,True
147.0,0,2,8,True
56.0,0,4,18,True
37.0,1,1,7,True
8.0,0,2,12,True
253.0,0,2,17,True
621.0,0,5,12,False
180.0,0,5,9,False
15.0,1,6,8,False
568.0,1,2,9,True
261.0,1,6,10,False
33.0,0,5,14,False
591.0,0,1,21,True
135.0,0,4,8,True
455.0,1,6,10,False
491.0,0,3,14,True
64.0,1,6,22,False
583.0,1,5,10,False
47.0,1,6,12,False
256.0,0,2,12,True
444.0,1,4,18,True
31.0,1,0,10,True
260.0,1,6,14,False
580.0,1,1,15,True
593.0,0,4,15,True
129.0,1,6,17,False
31.0,1,4,14,True
117.0,1,1,14,True
475.0,0,1,16,True
555.0,0,1,8,True
218.0,1,6,8,False
209.0,0,0,18,True
70.0,0,2,17,True
18.0,1,5,11,False
56.0,0,6,19,False
27.0,0,3,16,True
651.0,0,2,21,True
638.0,1,0,8,True
102.0,1,6,14,False
142.0,1,3,18,True
73.0,0,5,17,False
19.0,0,5,12,False
40.0,0,0,18,True
23.0,1,6,12,False
72.0,0,6,15,False
488.0,0,4,13,True
281.0,0,3,18,True
109.0,0,0,8,True
562.0,0,3,6,True
